bldg0002642-up00_Tin,bldg0002642-up00_E,bldg0002642-up00_G,Date/Time,Outdoor Temp
23.88890793748005,2322697.104511628,0.0,1900-07-24 00:00:00,21.691953462085724
23.88890733479035,1981805.255023357,0.0,1900-07-24 01:00:00,21.691953462085724
23.88890504005461,1620376.442743164,0.0,1900-07-24 02:00:00,21.316953462085724
23.88890045100997,1241377.1950992704,0.0,1900-07-24 03:00:00,20.779453462085726
23.888896295309557,983832.7765217936,0.0,1900-07-24 04:00:00,20.591953462085726
23.94060904059656,3203995.822331455,1666001.8319070397,1900-07-24 05:00:00,20.904453462085726
23.891119011115375,2275686.737878416,0.0,1900-07-24 06:00:00,21.466953462085723
23.88889191943731,925239.8265389176,0.0,1900-07-24 07:00:00,22.004453462085724
23.88889393938867,1219137.5898479177,0.0,1900-07-24 08:00:00,22.879453462085724
23.88889462854875,1860903.2543748496,0.0,1900-07-24 09:00:00,25.04195346208573
23.888895534882263,2713592.8409669506,0.0,1900-07-24 10:00:00,27.466953462085726
23.88889434060107,3586056.369523314,0.0,1900-07-24 11:00:00,29.354453462085726
23.888893393509893,4372513.982310502,0.0,1900-07-24 12:00:00,30.67945346208573
23.88889532102117,5165410.505287648,0.0,1900-07-24 13:00:00,31.779453462085726
23.88889192820853,5838111.3621111335,0.0,1900-07-24 14:00:00,32.19195346208573
23.88926321540148,6764209.10264683,0.0,1900-07-24 15:00:00,32.19195346208573
24.32157531804394,7409023.277059845,0.0,1900-07-24 16:00:00,32.19195346208573
24.308811189228663,7553163.871759216,0.0,1900-07-24 17:00:00,31.504453462085728
23.912271107615602,7251120.472578108,0.0,1900-07-24 18:00:00,30.029453462085726
23.88889239710683,6520664.711095864,0.0,1900-07-24 19:00:00,28.391953462085723
23.88889036407143,6182450.292706911,0.0,1900-07-24 20:00:00,26.72945346208573
23.88889323944564,4600589.683240436,0.0,1900-07-24 21:00:00,24.029453462085726
23.88890184090908,3688504.589724912,0.0,1900-07-24 22:00:00,23.47945346208573
23.888901382607248,3162493.5118719093,0.0,1900-07-24 23:00:00,22.82945346208572
23.888907699392934,2746767.937677867,0.0,1900-07-25 00:00:00,22.566953462085724
23.888908397276985,2390818.377275352,1551642.6232982508,1900-07-25 01:00:00,22.41695346208573
23.8889082849533,2112747.964059876,0.0,1900-07-25 02:00:00,22.566953462085724
23.88890781054929,1924932.0557419867,0.0,1900-07-25 03:00:00,23.10445346208573
23.888906809800584,1735790.0992801343,1551513.508956743,1900-07-25 04:00:00,23.29195346208573
23.888905035244846,1529617.7590990893,0.0,1900-07-25 05:00:00,22.60445346208573
23.88890563576759,1913190.1810585256,0.0,1900-07-25 06:00:00,22.566953462085724
23.92926609508351,3683011.0592864016,1797917.620262629,1900-07-25 07:00:00,23.47945346208573
23.96602963029722,3506812.9030966335,0.0,1900-07-25 08:00:00,25.266953462085727
23.888861233612133,2626966.811380907,0.0,1900-07-25 09:00:00,26.466953462085723
23.888896539527337,3247966.8031683452,1551808.922984838,1900-07-25 10:00:00,27.379453462085724
23.888896863756827,3838548.9944959143,1142298.531332556,1900-07-25 11:00:00,28.47945346208573
23.888898732530688,4376381.667942422,0.0,1900-07-25 12:00:00,29.579453462085723
23.88890055300609,4327422.141463714,0.0,1900-07-25 13:00:00,28.92945346208573
23.888896871162387,4895895.159550741,0.0,1900-07-25 14:00:00,29.72945346208573
23.888894265857296,5301803.715164614,0.0,1900-07-25 15:00:00,30.591953462085726
23.888892845460187,5553314.698400984,0.0,1900-07-25 16:00:00,30.591953462085726
23.888891800801375,5801374.904979301,0.0,1900-07-25 17:00:00,30.216953462085726
23.888894214692556,4933453.609627382,0.0,1900-07-25 18:00:00,29.30445346208573
23.888894830261,4435054.594560107,0.0,1900-07-25 19:00:00,26.454453462085723
23.88889779867134,4915590.8153583575,0.0,1900-07-25 20:00:00,24.99195346208573
23.88889782680496,4803115.295530513,0.0,1900-07-25 21:00:00,24.30445346208573
23.88890319896312,3383985.4877187,0.0,1900-07-25 22:00:00,23.204453462085723
23.888903885281476,2669363.036693428,0.0,1900-07-25 23:00:00,22.41695346208573
23.888908231178437,2246331.976146948,0.0,1900-07-26 00:00:00,21.879453462085724
23.888907050326928,1869964.7279096155,0.0,1900-07-26 01:00:00,21.316953462085724
23.88890404487782,1497723.3626528035,0.0,1900-07-26 02:00:00,20.779453462085726
23.888900321264337,1210789.6488408868,0.0,1900-07-26 03:00:00,20.591953462085726
23.8888941550959,898611.0792529557,0.0,1900-07-26 04:00:00,20.216953462085726
23.87225569009349,696222.2065503477,0.0,1900-07-26 05:00:00,19.61695346208573
23.878163023305763,1093214.076125407,0.0,1900-07-26 06:00:00,20.141953462085727
23.88889262852335,1590584.046752569,0.0,1900-07-26 07:00:00,21.591953462085723
23.888894605529487,1592219.855613028,0.0,1900-07-26 08:00:00,23.254453462085724
23.888895827792236,1670229.2329355553,0.0,1900-07-26 09:00:00,23.891953462085723
23.888901587848597,2127646.44544598,0.0,1900-07-26 10:00:00,24.579453462085723
23.888909025048637,2534685.061587098,0.0,1900-07-26 11:00:00,24.99195346208573
23.888902659752027,2843926.1883639293,731766.9480288931,1900-07-26 12:00:00,24.61695346208573
23.888903898157224,3120875.5399606847,0.0,1900-07-26 13:00:00,24.391953462085723
23.88890409650871,3689292.789369076,0.0,1900-07-26 14:00:00,24.766953462085723
23.888901625412437,4537664.049751412,0.0,1900-07-26 15:00:00,26.05445346208573
23.888896732483616,7054746.928255523,0.0,1900-07-26 16:00:00,26.691953462085724
