Date/Time,Outdoor Temp,bldg0002642-up00
1900-07-23 00:00:00,21.86695346208573,23.88890102535001
1900-07-23 01:00:00,19.61695346208573,23.888897515142567
1900-07-23 02:00:00,19.391953462085723,23.888895805240253
1900-07-23 03:00:00,18.704453462085727,23.876230302189384
1900-07-23 04:00:00,18.97945346208573,23.791724600447484
1900-07-23 05:00:00,19.391953462085723,23.719139800909176
1900-07-23 06:00:00,20.454453462085727,23.73737141330544
1900-07-23 07:00:00,22.154453462085726,23.7798373306784
1900-07-23 08:00:00,24.166953462085726,23.87027924419328
1900-07-23 09:00:00,26.36695346208573,23.88889272098031
1900-07-23 10:00:00,27.566953462085724,23.888895128375967
1900-07-23 11:00:00,28.47945346208573,23.88889774776657
1900-07-23 12:00:00,29.204453462085723,23.888900995221054
1900-07-23 13:00:00,29.766953462085723,23.8889011708412
1900-07-23 14:00:00,29.99195346208573,23.88889638700712
1900-07-23 15:00:00,29.99195346208573,23.88889272349992
1900-07-23 16:00:00,29.99195346208573,23.88889436674846
1900-07-23 17:00:00,29.61695346208573,23.889004073149657
1900-07-23 18:00:00,29.391953462085723,23.88889388398213
1900-07-23 19:00:00,28.01695346208572,23.88889250999689
1900-07-23 20:00:00,25.816953462085728,23.88889449012941
1900-07-23 21:00:00,23.92945346208573,23.88889496255456
1900-07-23 22:00:00,22.60445346208573,23.88889781657623
1900-07-23 23:00:00,21.879453462085724,23.888902954750264
1900-07-24 00:00:00,21.691953462085724,23.88890780092738
1900-07-24 01:00:00,21.691953462085724,23.88890670618725
1900-07-24 02:00:00,21.316953462085724,23.88890379839219
1900-07-24 03:00:00,20.779453462085726,23.8888984093016
1900-07-24 04:00:00,20.591953462085726,23.888893931574156
1900-07-24 05:00:00,20.904453462085726,23.93466262885845
1900-07-24 06:00:00,21.466953462085723,23.88891883126783
1900-07-24 07:00:00,22.004453462085724,23.888890336519815
1900-07-24 08:00:00,22.879453462085724,23.88889280646559
1900-07-24 09:00:00,25.04195346208573,23.88889420256367
1900-07-24 10:00:00,27.466953462085726,23.88889558595305
1900-07-24 11:00:00,29.354453462085726,23.88889465748966
1900-07-24 12:00:00,30.67945346208573,23.888893874683383
1900-07-24 13:00:00,31.779453462085726,25.19878866914312
1900-07-24 14:00:00,32.19195346208573,26.05705578603345
1900-07-24 15:00:00,32.19195346208573,26.661387737268537
1900-07-24 16:00:00,32.19195346208573,27.16717894732188
1900-07-24 17:00:00,31.504453462085728,27.44846472940918
1900-07-24 18:00:00,30.029453462085726,27.57810586536749
1900-07-24 19:00:00,28.391953462085723,27.634202024293096
1900-07-24 20:00:00,26.72945346208573,27.597458057871783
1900-07-24 21:00:00,24.029453462085726,27.40963991740949
1900-07-24 22:00:00,23.47945346208573,27.295086598978585
1900-07-24 23:00:00,22.82945346208572,27.118882398902688
1900-07-25 00:00:00,22.566953462085724,26.887644088629948
1900-07-25 01:00:00,22.41695346208573,26.702074643141415
1900-07-25 02:00:00,22.566953462085724,26.50636426128632
1900-07-25 03:00:00,23.10445346208573,26.35515466926832
1900-07-25 04:00:00,23.29195346208573,26.192173809714625
1900-07-25 05:00:00,22.60445346208573,26.00824566803981
1900-07-25 06:00:00,22.566953462085724,25.891000844684527
1900-07-25 07:00:00,23.47945346208573,25.88270703021117
1900-07-25 08:00:00,25.266953462085727,25.979505671405597
1900-07-25 09:00:00,26.466953462085723,26.163746979793096
1900-07-25 10:00:00,27.379453462085724,26.44617934083095
1900-07-25 11:00:00,28.47945346208573,26.768287323620907
1900-07-25 12:00:00,29.579453462085723,25.084603269836943
1900-07-25 13:00:00,28.92945346208573,24.45812029852818
1900-07-25 14:00:00,29.72945346208573,24.291614880592466
1900-07-25 15:00:00,30.591953462085726,24.224675497357623
1900-07-25 16:00:00,30.591953462085726,24.13885488324646
1900-07-25 17:00:00,30.216953462085726,24.09294361918476
1900-07-25 18:00:00,29.30445346208573,23.897884823405168
1900-07-25 19:00:00,26.454453462085723,23.88889403982741
1900-07-25 20:00:00,24.99195346208573,23.8888974606979
1900-07-25 21:00:00,24.30445346208573,23.88889850673168
1900-07-25 22:00:00,23.204453462085723,23.88890343017901
1900-07-25 23:00:00,22.41695346208573,23.8889051714769
1900-07-26 00:00:00,21.879453462085724,23.88890816832631
1900-07-26 01:00:00,21.316953462085724,23.88890786116484
1900-07-26 02:00:00,20.779453462085726,23.888905540462243
1900-07-26 03:00:00,20.591953462085726,23.888902080570972
1900-07-26 04:00:00,20.216953462085726,23.888896037930603
1900-07-26 05:00:00,19.61695346208573,23.88815062860124
1900-07-26 06:00:00,20.141953462085727,23.88751724466251
1900-07-26 07:00:00,21.591953462085723,23.88889301450347
1900-07-26 08:00:00,23.254453462085724,23.888894839704413
1900-07-26 09:00:00,23.891953462085723,23.88889595438313
1900-07-26 10:00:00,24.579453462085723,23.88890164027243
1900-07-26 11:00:00,24.99195346208573,23.888909063360103
1900-07-26 12:00:00,24.61695346208573,23.88890278893013
1900-07-26 13:00:00,24.391953462085723,23.888904110681683
1900-07-26 14:00:00,24.766953462085723,23.88890425448501
1900-07-26 15:00:00,26.05445346208573,23.88890252755039
1900-07-26 16:00:00,26.691953462085724,23.88889710073072
1900-07-26 17:00:00,26.691953462085724,23.888908049137015
1900-07-26 18:00:00,26.316953462085724,23.888906514286063
1900-07-26 19:00:00,25.029453462085726,23.88889578705184
1900-07-26 20:00:00,23.01695346208572,23.88889793159568
1900-07-26 21:00:00,21.191953462085724,23.88890129062198
1900-07-26 22:00:00,19.841953462085723,23.88890313120148
