Date/Time,Outdoor Temp,bldg0002642-up00_Tin,bldg0002642-up00_E,bldg0002642-up00_G
1900-07-23 00:00:00,21.86695346208573,23.88890102535001,2077083.5545819437,0.0
1900-07-23 01:00:00,19.61695346208573,23.888897515142567,1448925.858791245,0.0
1900-07-23 02:00:00,19.391953462085723,23.888895805240253,1089084.5555439466,0.0
1900-07-23 03:00:00,18.704453462085727,23.876230302189384,761183.085623946,0.0
1900-07-23 04:00:00,18.97945346208573,23.791724600447484,694251.5076389693,0.0
1900-07-23 05:00:00,19.391953462085723,23.719139800909176,696222.2065503477,0.0
1900-07-23 06:00:00,20.454453462085727,23.73737141330544,708674.2300405548,0.0
1900-07-23 07:00:00,22.154453462085726,23.7798373306784,717923.8677997722,0.0
1900-07-23 08:00:00,24.166953462085726,23.87027924419328,863858.0057133819,0.0
1900-07-23 09:00:00,26.36695346208573,23.88889272098031,1493565.040506532,0.0
1900-07-23 10:00:00,27.566953462085724,23.888895128375967,2151838.2701369,0.0
1900-07-23 11:00:00,28.47945346208573,23.88889774776657,2801762.8801903217,0.0
1900-07-23 12:00:00,29.204453462085723,23.888900995221054,3576417.644326427,0.0
1900-07-23 13:00:00,29.766953462085723,23.8889011708412,4294912.209984675,0.0
1900-07-23 14:00:00,29.99195346208573,23.88889638700712,5092939.15170282,0.0
1900-07-23 15:00:00,29.99195346208573,23.88889272349992,6098928.353905653,0.0
1900-07-23 16:00:00,29.99195346208573,23.88889436674846,6461639.390942052,0.0
1900-07-23 17:00:00,29.61695346208573,23.889004073149657,6804246.430144761,0.0
1900-07-23 18:00:00,29.391953462085723,23.88889388398213,6166034.887245216,0.0
1900-07-23 19:00:00,28.01695346208572,23.88889250999689,4934793.905478949,0.0
1900-07-23 20:00:00,25.816953462085728,23.88889449012941,4176238.6085771793,0.0
1900-07-23 21:00:00,23.92945346208573,23.88889496255456,3681290.119411471,0.0
1900-07-23 22:00:00,22.60445346208573,23.88889781657623,3136953.0419589337,0.0
1900-07-23 23:00:00,21.879453462085724,23.888902954750264,2602117.498936404,0.0
1900-07-24 00:00:00,21.691953462085724,23.88890780092738,2195357.122484856,0.0
1900-07-24 01:00:00,21.691953462085724,23.88890670618725,1854803.0582310185,0.0
1900-07-24 02:00:00,21.316953462085724,23.88890379839219,1494740.1113305867,0.0
1900-07-24 03:00:00,20.779453462085726,23.8888984093016,1117916.021149269,0.0
1900-07-24 04:00:00,20.591953462085726,23.888893931574156,893617.7987336742,0.0
1900-07-24 05:00:00,20.904453462085726,23.93466262885845,3124587.90838628,0.0
1900-07-24 06:00:00,21.466953462085723,23.88891883126783,2163891.0324136037,0.0
1900-07-24 07:00:00,22.004453462085724,23.888890336519815,809800.696635605,0.0
1900-07-24 08:00:00,22.879453462085724,23.88889280646559,1075389.9094622016,0.0
1900-07-24 09:00:00,25.04195346208573,23.88889420256367,1699839.8073567569,0.0
1900-07-24 10:00:00,27.466953462085726,23.88889558595305,2541700.0760684963,0.0
1900-07-24 11:00:00,29.354453462085726,23.88889465748966,3412669.818800762,0.0
1900-07-24 12:00:00,30.67945346208573,23.888893874683383,4187311.896473754,0.0
1900-07-24 13:00:00,31.779453462085726,25.19878866914312,0.0,0.0
1900-07-24 14:00:00,32.19195346208573,26.05705578603345,0.0,0.0
1900-07-24 15:00:00,32.19195346208573,26.661387737268537,0.0,0.0
1900-07-24 16:00:00,32.19195346208573,27.16717894732188,0.0,0.0
1900-07-24 17:00:00,31.504453462085728,27.44846472940918,0.0,0.0
1900-07-24 18:00:00,30.029453462085726,27.57810586536749,0.0,0.0
1900-07-24 19:00:00,28.391953462085723,27.634202024293096,0.0,0.0
1900-07-24 20:00:00,26.72945346208573,25.528464977574068,7362866.239987001,0.0
1900-07-24 21:00:00,24.029453462085726,24.62578156646171,6514388.068344133,0.0
1900-07-24 22:00:00,23.47945346208573,24.04565377419279,6059491.457658731,0.0
1900-07-24 23:00:00,22.82945346208572,23.88894348631547,4931805.923234589,0.0
1900-07-25 00:00:00,22.566953462085724,23.88889992618692,3970173.602433716,0.0
1900-07-25 01:00:00,22.41695346208573,23.88890483761059,3286053.043403443,0.0
1900-07-25 02:00:00,22.566953462085724,23.888907537296493,2786554.568069409,0.0
1900-07-25 03:00:00,23.10445346208573,23.8889085561905,2442381.646498885,0.0
1900-07-25 04:00:00,23.29195346208573,23.88890848669282,2134689.3262685286,0.0
1900-07-25 05:00:00,22.60445346208573,23.888907347473108,1835257.3371540424,0.0
1900-07-25 06:00:00,22.566953462085724,23.888907403732485,2150836.870890576,0.0
1900-07-25 07:00:00,23.47945346208573,23.938230069215614,3818612.896771948,0.0
1900-07-25 08:00:00,25.266953462085727,23.98250098306141,3628919.4407315,0.0
1900-07-25 09:00:00,26.466953462085723,23.888939388429012,2762930.416817355,0.0
1900-07-25 10:00:00,27.379453462085724,23.888896432383557,3333161.1342082657,0.0
1900-07-25 11:00:00,28.47945346208573,23.88889681696461,3893721.347509959,0.0
1900-07-25 12:00:00,29.579453462085723,23.8888987937792,4405491.346079637,0.0
1900-07-25 13:00:00,28.92945346208573,23.88890046578816,4333404.446655476,0.0
1900-07-25 14:00:00,29.72945346208573,23.88889695334274,4883515.770015123,0.0
1900-07-25 15:00:00,30.591953462085726,23.88889445505952,5274176.315558129,0.0
1900-07-25 16:00:00,30.591953462085726,23.8888930896045,5513349.6588662965,0.0
1900-07-25 17:00:00,30.216953462085726,23.888892059152575,5751934.282048299,0.0
1900-07-25 18:00:00,29.30445346208573,23.888894517787705,4873033.625735872,0.0
